,formula,Eg (eV),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,Computed band gap small,Computed band gap large
0,Hg0.7Cd0.3Te,0.35,Hg0.7 Cd0.3 Te1,48.0,80.0,32.0,61.2,13.16,52.0,70.0,90.0,20.0,80.35,9.649999999999999,90.0,112.411,200.59,88.179,150.86814999999999,34.805295,127.6,234.32,722.66,488.34,532.4749999999999,208.70850000000002,722.66,12.0,16.0,4.0,14.0,2.0,16.0,5.0,6.0,1.0,5.35,0.4549999999999999,5.0,132.0,144.0,12.0,136.8,3.3599999999999968,138.0,1.69,2.1,0.41000000000000014,2.0035,0.09650000000000006,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.8999999999999995,6.37,0.0,12.0,26.0,14.0,18.9,4.969999999999999,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,19.495,34.7633333333,15.268333333299996,29.139071839064997,5.6242614942349975,34.7633333333,0.0,0.464,0.464,0.232,0.23199999999999998,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,194.0,42.0,163.2,11.2,152.0,,,,,,,
1,CuBr,3.077,Cu1 Br1,29.0,35.0,6.0,32.0,3.0,29.0,64.0,95.0,31.0,79.5,15.5,64.0,63.546,79.904,16.357999999999997,71.725,8.178999999999998,63.546,265.8,1357.77,1091.97,811.785,545.9849999999999,265.8,11.0,17.0,6.0,14.0,3.0,11.0,4.0,4.0,0.0,4.0,0.0,4.0,120.0,132.0,12.0,126.0,6.0,120.0,1.9,2.96,1.06,2.4299999999999997,0.53,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,5.0,5.0,2.5,2.5,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,6.0,14.0,3.0,11.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.07,29.48,18.41,20.275,9.205,11.07,0.0,1.457,1.457,0.7285,0.7285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,144.5,80.5,64.0,Cu+1 Br-1,-1.0,1.0,2.0,1.4142135623730951,0.48709999999999987,0.29990000000000006
2,LuP,1.3,Lu1 P1,15.0,71.0,56.0,43.0,28.0,15.0,41.0,83.0,42.0,62.0,21.0,41.0,30.973762,174.9668,143.993038,102.970281,71.996519,30.973762,317.3,1936.0,1618.7,1126.65,809.35,317.3,3.0,15.0,12.0,9.0,6.0,3.0,3.0,6.0,3.0,4.5,1.5,3.0,107.0,187.0,80.0,147.0,40.0,107.0,1.27,2.19,0.9199999999999999,1.73,0.45999999999999996,1.27,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,14.0,14.0,7.0,7.0,0.0,5.0,17.0,12.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.0,3.0,3.0,22.5702380952,28.865,6.294761904799998,25.7176190476,3.147380952399999,22.5702380952,0.0,1.625,1.625,0.8125,0.8125,0.0,0.0,0.0022471,0.0022471,0.00112355,0.00112355,0.0,2.0,194.0,192.0,98.0,96.0,2.0,Lu3+1 P3-1,-3.0,3.0,6.0,4.242640687119285,0.0,0.0
3,Cu3SbSe4,0.4,Cu3 Sb1 Se4,29.0,51.0,22.0,34.25,4.1875,34.0,64.0,89.0,25.0,79.125,11.34375,89.0,63.546,121.76,58.214000000000006,78.52975,11.237812499999997,78.96,494.0,1357.77,863.77,869.13625,375.13625,494.0,11.0,16.0,5.0,14.0,2.25,16.0,4.0,5.0,1.0,4.125,0.21875,4.0,120.0,139.0,19.0,126.875,6.875,120.0,1.9,2.55,0.6499999999999999,2.24375,0.30624999999999997,2.55,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,4.0,4.0,2.375,1.78125,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.25,16.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,3.0,3.0,1.375,1.03125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.75,0.5625,2.0,11.07,31.56,20.49,21.05625,7.4896875000000005,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,112.125,98.125,14.0,Cu+3 Sb5+1 Se2-4,-2.0,5.0,7.0,3.0435436410107286,0.0,0.0
4,ZnO,3.436,Zn1 O1,8.0,30.0,22.0,19.0,11.0,8.0,69.0,87.0,18.0,78.0,9.0,69.0,15.9994,65.38,49.380599999999994,40.689699999999995,24.690299999999997,15.9994,54.8,692.68,637.88,373.73999999999995,318.93999999999994,54.8,12.0,16.0,4.0,14.0,2.0,12.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,122.0,56.0,94.0,28.0,66.0,1.65,3.44,1.79,2.545,0.895,1.65,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,9.105,13.96,4.855,11.5325,2.4275,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,103.0,91.0,12.0,Zn2+1 O2-1,-2.0,2.0,4.0,2.8284271247461903,0.7316,0.4344999999999999
5,PtSb2,0.08,Pt1 Sb2,51.0,78.0,27.0,60.0,12.0,51.0,63.0,85.0,22.0,77.66666666666667,9.777777777777777,85.0,121.76,195.084,73.324,146.20133333333334,32.58844444444444,121.76,903.78,2041.4,1137.6200000000001,1282.9866666666667,505.60888888888894,903.78,10.0,15.0,5.0,13.333333333333334,2.222222222222222,15.0,5.0,6.0,1.0,5.333333333333333,0.44444444444444436,5.0,136.0,139.0,3.0,138.0,1.3333333333333333,139.0,2.05,2.28,0.22999999999999998,2.1266666666666665,0.10222222222222221,2.05,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,9.0,10.0,1.0,9.666666666666666,0.44444444444444464,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,15.0,24.0,9.0,18.0,4.0,15.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.6666666666666665,0.4444444444444445,3.0,15.02,31.56,16.54,26.046666666666667,7.35111111111111,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,185.66666666666666,26.222222222222218,166.0,Pt2-1 Sb5+1 Sb3-1,-3.0,5.0,8.0,4.358898943540674,0.0,0.0
6,ZnIn2S4,2.68,Zn1 In2 S4,16.0,49.0,33.0,27.428571428571427,13.061224489795919,16.0,69.0,88.0,19.0,81.57142857142857,7.346938775510204,88.0,32.065,114.818,82.753,60.467999999999996,32.46057142857143,32.065,388.36,692.68,304.31999999999994,443.65999999999997,71.14857142857139,388.36,12.0,16.0,4.0,14.571428571428571,1.6326530612244898,16.0,3.0,5.0,2.0,3.7142857142857144,0.8163265306122449,3.0,105.0,142.0,37.0,118.0,14.857142857142858,105.0,1.65,2.58,0.9300000000000002,2.218571428571429,0.41306122448979593,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.5714285714285716,1.6326530612244898,4.0,0.0,10.0,10.0,4.285714285714286,4.8979591836734695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,8.857142857142858,3.2653061224489797,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5714285714285716,1.3877551020408165,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5714285714285716,1.3877551020408165,2.0,13.96,25.786875,11.826874999999998,23.66107142857143,2.7717346938775504,25.786875,0.0,2.202,2.202,1.2582857142857142,1.0785306122448979,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,107.42857142857143,42.775510204081634,70.0,Zn2+1 In3+2 S2-4,-2.0,3.0,5.0,3.082207001484488,1.3921999999999999,0.00010000000000021103
7,K2Cd3Te4,2.26,K2 Cd3 Te4,19.0,52.0,33.0,43.333333333333336,10.814814814814813,52.0,3.0,90.0,87.0,64.0,27.11111111111111,90.0,39.0983,127.6,88.5017,102.86995555555556,28.342958024691352,127.6,336.53,722.66,386.13,594.0400000000001,114.44888888888883,722.66,1.0,16.0,15.0,11.333333333333334,4.592592592592592,16.0,4.0,5.0,1.0,4.777777777777778,0.34567901234567905,5.0,138.0,203.0,65.0,154.44444444444446,21.580246913580254,138.0,0.82,2.1,1.2800000000000002,1.6788888888888889,0.38172839506172845,2.1,1.0,2.0,1.0,1.7777777777777777,0.34567901234567905,2.0,0.0,4.0,4.0,1.7777777777777777,1.9753086419753088,4.0,0.0,10.0,10.0,7.777777777777778,3.45679012345679,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,11.333333333333334,4.592592592592592,16.0,0.0,1.0,1.0,0.2222222222222222,0.345679012345679,0.0,0.0,2.0,2.0,0.8888888888888888,0.9876543209876544,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.1111111111111112,0.7901234567901234,2.0,19.495,73.1066666667,53.61166666669999,38.19462962962222,15.5164609053679,34.7633333333,0.0,0.464,0.464,0.20622222222222222,0.22913580246913579,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,183.11111111111111,27.65432098765432,152.0,K+2 Cd2+3 Te2-4,-2.0,2.0,4.0,2.27866357593825,1.4375,1.4375
8,K4Sn3Ce3S14,2.46,K4 Sn3 Ce3 S14,16.0,58.0,42.0,26.0,14.0,16.0,3.0,88.0,85.0,63.708333333333336,32.41319444444444,88.0,32.065,140.116,108.05100000000002,57.574216666666665,35.91939166666666,32.065,336.53,1071.0,734.47,479.64166666666665,154.19916666666666,388.36,1.0,16.0,15.0,11.625,5.697916666666667,16.0,3.0,6.0,3.0,3.7916666666666665,0.923611111111111,3.0,105.0,204.0,99.0,137.95833333333334,38.45138888888889,105.0,0.82,2.58,1.7600000000000002,2.026666666666667,0.6455555555555557,2.58,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,4.0,4.0,2.5833333333333335,1.652777777777778,4.0,0.0,10.0,10.0,1.375,2.15625,0.0,0.0,1.0,1.0,0.125,0.21875,0.0,1.0,14.0,13.0,5.916666666666667,2.1180555555555554,6.0,0.0,1.0,1.0,0.16666666666666666,0.2777777777777778,0.0,0.0,4.0,4.0,1.6666666666666667,0.972222222222222,2.0,0.0,9.0,9.0,1.125,1.96875,0.0,0.0,13.0,13.0,1.625,2.84375,0.0,1.0,22.0,21.0,4.583333333333333,4.354166666666667,2.0,25.786875,73.1066666667,47.3197916667,36.04241319445,12.654147858804166,25.786875,0.0,2.202,2.202,1.2845,1.0704166666666666,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,159.0,120.875,59.354166666666664,70.0,K+4 Sn4+3 Ce4+3 S2-14,-2.0,4.0,6.0,3.2894998477815607,,
9,Pb6B2CrO12,1.8,Pb6 B2 Cr1 O12,5.0,82.0,77.0,29.61904761904762,29.931972789115644,8.0,49.0,87.0,38.0,82.04761904761905,5.6598639455782305,87.0,10.811,207.2,196.38899999999998,71.8481380952381,77.34392108843538,15.9994,54.8,2348.0,2293.2,530.3457142857143,543.4808163265307,54.8,6.0,16.0,10.0,14.666666666666666,1.5238095238095237,16.0,2.0,6.0,4.0,3.238095238095238,1.6507936507936507,2.0,66.0,146.0,80.0,94.04761904761905,33.96825396825396,66.0,1.66,3.44,1.78,2.9047619047619047,0.6117006802721088,3.44,1.0,2.0,1.0,1.9523809523809523,0.09070294784580504,2.0,0.0,4.0,4.0,2.9523809523809526,1.1972789115646258,4.0,0.0,10.0,10.0,3.0952380952380953,4.126984126984127,0.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,3.0,28.0,25.0,12.0,9.142857142857142,6.0,0.0,1.0,1.0,0.047619047619047616,0.09070294784580499,0.0,0.0,5.0,5.0,2.761904761904762,1.1337868480725624,2.0,0.0,5.0,5.0,0.23809523809523808,0.45351473922902485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.0476190476190474,1.1972789115646258,2.0,7.1725,28.11,20.9375,14.450238095238095,7.805578231292516,9.105,0.0,1.524,1.524,0.14514285714285716,0.26263945578231296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,97.85714285714286,98.12244897959184,12.0,Pb2+6 B3+2 Cr6+1 O2-12,-2.0,6.0,8.0,3.2149552874029212,1.8898000000000001,1.8898000000000001
